,"RKCB92, sodium bicarbonate condition",,,,,,,,,,,,,"RKCB92, sodium hydroxide condition",,,,,,,,,,Notes,,,,,,,,,,,,,
Glycine,0,0,0.06336666667,0,0,0.0491,0.1130333333,0.2375333333,0.3035,0.3743,0.4491333333,0.5531333333,0.5194666667,0,0,0,0,0,0,0.0488,0.1635,0.3077,0.3232,,,,,,,,,,,,,,
stdev,0,0,0.1097542862,0,0,0.08504369465,0.09924577237,0.03985678529,0.003296968304,0.05048950386,0.0813854,0.04655043859,0.06570649384,0,0,0,0,0,0,0.08452407941,0.142361336,0.05835246353,0.05889516109,,,,,,,,,,,,,,
Alanine,0,0,0,0,1.0962,1.498066667,3.6496,4.490266667,5.973766667,6.715,7.263166667,8.327,8.5019,0.0831,0,0.1434666667,0.2374,0,0.2295666667,0.8106333333,2.659133333,8.484966667,9.938133333,,,,,,,,,,,,,,
stdev,0,0,0,0,0.2918012337,0.2407164584,0.03805088698,0.0415722664,0.2641708601,0.6822370043,1.194583854,0.6908917354,0.5997215437,0.1439334221,0,0.1280305562,0.2441597018,0,0.2138391997,1.40405812,2.307312628,0.3305510752,1.608742429,,,,,,,,,,,,,,
Valine,0,0,0,0.06903333333,1.003033333,1.129133333,1.875666667,2.163566667,3.0088,3.077766667,3.174166667,3.4742,3.528433333,0.01616666667,0,0.1939,0.2640666667,0.06723333333,0.2910666667,0.4671333333,0.8913333333,1.779566667,1.973433333,,,,,,,,,,,,,,
stdev,0,0,0,0.0744983445,0.1185533776,0.1452310343,0.293644706,0.1699310546,0.1915652369,0.2888450507,0.4671773254,0.3285929245,0.3448301369,0.02800148806,0,0.08229434975,0.1277459327,0.1164515493,0.2818976646,0.8090986672,0.8112069362,0.02153725454,0.3301667659,,,,,,,,,,,,,,
Isoleucine,0.01186666667,0,0,0.0135,0.0499,0.04723333333,0.09736666667,0.1459,0.2194666667,0.2089666667,0.2711333333,0.2509333333,0.2451666667,0,0,0.0659,0.06743333333,0,0.05003333333,0.1349333333,0.173,0.1523333333,0.1338,,,,,,,,,,,,,,
stdev,0.02055366958,0,0,0.0233826859,0.00225166605,0.009411340677,0.01371726406,0.01319431696,0.0309345007,0.02679203862,0.07046604383,0.02317333237,0.03359975198,0,0,0.06390359927,0.08171024008,0,0.05982527337,0.233711389,0.2494135321,0.01650828075,0.02305797042,,,,,,,,,,,,,,
Leucine,0,0,0,0,0.0457,0.04736666667,0.07096666667,0.0875,0.1880333333,0.1392333333,0.2757333333,0.196,0.1815666667,0,0,0.1415333333,0.1636,0.01396666667,0.07983333333,0.3043666667,0.3580666667,0.1738666667,0.1046333333,,,,,,,,,,,,,,
stdev,0,0,0,0,0.004246174749,0.007521524668,0.01151795699,0.008066597796,0.06800061274,0.02030402259,0.1535191953,0.04300511597,0.01310203547,0,0,0.1367337681,0.1614449751,0.02419097628,0.07867670134,0.5271785308,0.5834316098,0.03297913482,0.0141779171,,,,,,,,,,,,,,
Total Protein (mg/ml),#DIV/0!,#DIV/0!,0.05,0.07716666667,0.1753333333,0.226,0.2163333333,0.1956666667,0.182,0.254,0.2793333333,0.2923333333,0.2973333333,,,0.07116666667,0.08333333333,0.08883333333,0.1051666667,0.182,0.219,0.1943333333,0.218,"Detecetd by Quibit Total Protein  Assay, lower detection  ~0.05mg/ml",,,,,,,,,,,,,
stdev,#DIV/0!,#DIV/0!,#DIV/0!,0.01593999164,0.01814754345,0.03939543121,0.03250128203,0.02874601422,0.004358898944,0.03218695388,0.05390114408,0.03808324216,0.05537448269,,,0.004645786622,0.009543758868,0.009928914006,0.02226170104,0.01,0.009848857802,0.01069267662,0.03815756806,,,,,,,,,,,,,,
Total Productts (mM),0.02286666667,0.015,1.3147,5.002533333,45.03136667,53.15106667,94.01276667,130.9995333,159.2524667,178.5224333,194.0396667,204.5012333,203.6284,0.1086,0.01466666667,7.319133333,11.71783333,12.73686667,17.10116667,44.52153333,60.60736667,100.9827667,109.2622,Sum of mM acetate through amino acids,,,,,,,,,,,,,
stdev,0.02057798176,0.002645751311,0.1255800011,0.4375184796,3.258020442,3.007342631,3.160895098,3.085727873,3.185220793,3.338987943,3.877739124,4.896795094,6.04939805,0.1466364439,0.001527525232,0.5252824415,0.4655817436,0.4072515603,0.7527577632,2.430098433,3.436133761,2.879871818,3.677612172,,,,,,,,,,,,,,
pH,7.096666667,7.083333333,7.013333333,6.926666667,5.966666667,5.966666667,5.966666667,5.966666667,5.966666667,5.966666667,5.966666667,5.966666667,5.966666667,7.05,6.693333333,6.186666667,5.95,5.956666667,5.953333333,5.953333333,5.953333333,5.953333333,5.953333333,"As indicated on the fermentation controller, at 65°C",,,,,,,,,,,,,
stdev,0.01154700538,0.02309401077,0.04163331999,0.05507570547,0.02886751346,0.02886751346,0.02886751346,0.02886751346,0.02886751346,0.02886751346,0.02886751346,0.02886751346,0.02886751346,0,0.02081665999,0.1006644591,0,0.005773502692,0.005773502692,0.005773502692,0.005773502692,0.005773502692,0.005773502692,,,,,,,,,,,,,,
