TAG	1121259.3	1214564.3	1387555.3	1387557.3	1387569.3	31899.1	351627.8	608506.3	632292.3	632335.8	632348.3	632516.3	632518.3
TAG1325	-	-	fig|1387555.3.peg.296	-	-	-	-	-	-	-	-	-	-
TAG1326	-	-	fig|1387555.3.peg.297	-	-	-	-	-	-	-	-	-	-
TAG1327	-	-	fig|1387555.3.peg.298	-	-	-	-	-	-	-	-	-	-
TAG1328	-	-	fig|1387555.3.peg.299	-	-	-	-	-	-	-	-	-	-
TAG1329	-	-	fig|1387555.3.peg.3	-	-	-	-	-	-	-	-	-	-
TAG1330	-	-	fig|1387555.3.peg.300	-	-	-	-	-	-	-	-	-	-
TAG1331	-	-	fig|1387555.3.peg.301	-	-	-	-	-	-	-	-	-	-
TAG1332	-	-	fig|1387555.3.peg.302	-	-	-	-	-	-	-	-	-	-
TAG1333	-	-	fig|1387555.3.peg.303	-	-	-	-	-	-	-	-	-	-
TAG1334	-	-	fig|1387555.3.peg.304	-	-	-	-	-	-	-	-	-	-
TAG1335	-	-	fig|1387555.3.peg.305	-	-	-	-	-	-	-	-	-	-
TAG1336	-	-	fig|1387555.3.peg.306	-	-	-	-	-	-	-	-	-	-
TAG1337	-	-	fig|1387555.3.peg.307	-	-	-	-	-	-	-	-	-	-
TAG1338	-	-	fig|1387555.3.peg.308	-	-	-	-	-	-	-	-	-	-
TAG1339	-	fig|1214564.3.peg.1279	fig|1387555.3.peg.309	-	-	-	fig|351627.8.peg.107|Csac_0085	-	-	-	-	-	-
TAG1340	-	-	fig|1387555.3.peg.311	-	-	-	-	-	-	-	-	-	-
TAG1341	-	-	fig|1387555.3.peg.312	-	-	-	-	-	-	-	-	-	-
TAG1342	-	-	fig|1387555.3.peg.314	-	-	-	-	-	-	-	-	-	-
TAG1343	-	-	fig|1387555.3.peg.315	-	-	-	-	-	-	-	-	-	-
TAG1344	fig|1121259.3.peg.1530	-	fig|1387555.3.peg.322	fig|1387557.3.peg.161	fig|1387569.3.peg.224	-	-	fig|608506.3.peg.2463|COB47_2274	-	fig|632335.8.peg.2856|Calkr_2579	-	fig|632516.3.peg.426|CallaDRAFT_0417	-
TAG1345	fig|1121259.3.peg.1533	fig|1214564.3.peg.2433	fig|1387555.3.peg.325	fig|1387557.3.peg.164	fig|1387569.3.peg.227	fig|31899.10.peg.218|SAMN05216182_0138	fig|351627.8.peg.77|Csac_0063	fig|608506.3.peg.2466|COB47_2277	fig|632292.3.peg.2676|Calhy_2544	"fig|632335.8.peg.2758|Calkr_2533,fig|632335.8.peg.2859|Calkr_2582"	fig|632348.3.peg.2627|Calkro_2488	fig|632516.3.peg.804|CallaDRAFT_0772	-
TAG1346	-	-	fig|1387555.3.peg.332	-	-	-	-	-	-	-	-	-	-
TAG1347	-	-	fig|1387555.3.peg.333	fig|1387557.3.peg.190	-	-	-	-	-	-	-	-	-
TAG1348	-	-	fig|1387555.3.peg.334	-	-	-	-	-	-	-	-	-	-
TAG1349	fig|1121259.3.peg.1515	fig|1214564.3.peg.1276	fig|1387555.3.peg.337	fig|1387557.3.peg.127	fig|1387569.3.peg.210	fig|31899.10.peg.311|SAMN05216182_0195	"fig|351627.8.peg.109|Csac_0088,fig|351627.8.peg.48|Csac_0042"	fig|608506.3.peg.2498|COB47_2299	fig|632292.3.peg.2721|Calhy_2590	fig|632335.8.peg.2840|Calkr_2573	fig|632348.3.peg.2719|Calkro_2554	fig|632516.3.peg.440|CallaDRAFT_0425	fig|632518.3.peg.2395|Calow_2231
TAG1350	-	-	fig|1387555.3.peg.338	-	-	-	-	-	-	-	-	-	-
TAG1351	-	-	fig|1387555.3.peg.340	-	-	-	-	-	-	-	-	-	-
TAG1352	-	-	fig|1387555.3.peg.342	-	-	-	-	-	-	-	-	-	-
TAG1353	-	-	fig|1387555.3.peg.344	-	-	-	-	-	-	-	-	-	-
TAG1354	-	-	fig|1387555.3.peg.345	-	-	-	-	-	-	-	-	-	-
TAG1355	-	-	fig|1387555.3.peg.346	-	-	-	-	-	-	-	-	-	-
TAG1356	-	-	fig|1387555.3.peg.347	-	-	-	-	-	-	-	-	-	-
TAG1357	-	-	fig|1387555.3.peg.354	-	-	-	-	-	-	-	-	-	-
TAG1358	-	-	fig|1387555.3.peg.359	-	-	-	-	-	-	-	-	-	-
TAG1359	-	-	fig|1387555.3.peg.36	-	-	-	-	-	-	-	-	-	-
TAG1360	-	-	fig|1387555.3.peg.361	-	-	-	-	-	-	-	-	-	-
TAG1361	-	-	fig|1387555.3.peg.362	-	-	-	-	-	-	-	-	-	-
TAG1362	-	-	fig|1387555.3.peg.363	-	-	-	-	-	-	-	-	-	-
TAG1363	fig|1121259.3.peg.2253	-	fig|1387555.3.peg.390	-	fig|1387569.3.peg.314	fig|31899.10.peg.417|SAMN05216182_0288	fig|351627.8.peg.2784|Csac_2579	fig|608506.3.peg.33|COB47_0032	fig|632292.3.peg.27|Calhy_0024	fig|632335.8.peg.2703|Calkr_2488	fig|632348.3.peg.40|Calkro_0036	fig|632516.3.peg.1369|CallaDRAFT_1308	fig|632518.3.peg.17|Calow_0017
TAG1364	-	-	fig|1387555.3.peg.391	-	-	-	-	-	-	-	-	-	-
TAG1365	-	-	fig|1387555.3.peg.392	-	-	-	-	-	-	-	-	-	-
TAG1366	-	-	fig|1387555.3.peg.394	-	-	-	-	-	-	-	-	-	-
TAG1367	-	-	fig|1387555.3.peg.396	-	-	-	-	-	-	-	-	-	-
TAG1368	-	-	fig|1387555.3.peg.397	-	-	-	-	-	-	-	-	-	-
TAG1369	-	fig|1214564.3.peg.2301	fig|1387555.3.peg.398	-	-	fig|31899.10.peg.411|SAMN05216182_0282	fig|351627.8.peg.36|Csac_0030	-	-	-	-	fig|632516.3.peg.1363|CallaDRAFT_1302	-
TAG1370	-	fig|1214564.3.peg.313	fig|1387555.3.peg.400	-	-	fig|31899.10.peg.885|SAMN05216182_0728	fig|351627.8.peg.1254|Csac_1115	fig|608506.3.peg.476|COB47_0425	fig|632292.3.peg.2297|Calhy_2193	fig|632335.8.peg.2693|Calkr_2478	"fig|632348.3.peg.2283|Calkro_2168,fig|632348.3.peg.44|Calkro_0040"	-	fig|632518.3.peg.373|Calow_0330
TAG1371	-	fig|1214564.3.peg.1359	fig|1387555.3.peg.404	fig|1387557.3.peg.314	fig|1387569.3.peg.321	-	fig|351627.8.peg.2776|Csac_2572	-	fig|632292.3.peg.34|Calhy_0031	fig|632335.8.peg.2689|Calkr_2474	-	-	fig|632518.3.peg.25|Calow_0024
TAG1372	-	fig|1214564.3.peg.1357	fig|1387555.3.peg.406	fig|1387557.3.peg.316	fig|1387569.3.peg.323	-	fig|351627.8.peg.2774|Csac_2570	-	fig|632292.3.peg.36|Calhy_0033	fig|632335.8.peg.2688|Calkr_2473	-	-	fig|632518.3.peg.27|Calow_0026
TAG1373	-	-	fig|1387555.3.peg.410	-	-	-	-	-	-	-	-	-	-
TAG1374	-	-	fig|1387555.3.peg.413	-	-	fig|31899.10.peg.457|SAMN05216182_0327	-	-	-	-	fig|632348.3.peg.60|Calkro_0056	-	-
TAG1375	-	-	fig|1387555.3.peg.414	-	-	fig|31899.10.peg.458|SAMN05216182_0328	-	-	-	-	-	-	-
TAG1376	fig|1121259.3.peg.2213	fig|1214564.3.peg.1337	fig|1387555.3.peg.423	fig|1387557.3.peg.334	-	fig|31899.10.peg.469|SAMN05216182_0339	fig|351627.8.peg.2753|Csac_2554	fig|608506.3.peg.74|COB47_0071	fig|632292.3.peg.60|Calhy_0055	-	fig|632348.3.peg.71|Calkro_0067	-	-
TAG1377	fig|1121259.3.peg.2211	-	fig|1387555.3.peg.425	fig|1387557.3.peg.336	-	-	fig|351627.8.peg.2751|Csac_2552	fig|608506.3.peg.76|COB47_0073	fig|632292.3.peg.62|Calhy_0057	-	fig|632348.3.peg.73|Calkro_0069	-	-
TAG1378	-	-	fig|1387555.3.peg.430	-	-	-	-	-	-	-	-	-	-
TAG1379	-	-	fig|1387555.3.peg.431	-	-	-	-	-	-	-	-	-	-
TAG1380	-	-	fig|1387555.3.peg.432	-	-	-	-	-	-	-	-	-	-
TAG1381	-	-	fig|1387555.3.peg.433	-	-	-	-	-	-	-	-	-	-
TAG1382	-	-	fig|1387555.3.peg.434	-	-	-	-	-	-	-	-	-	-
TAG1383	-	-	fig|1387555.3.peg.435	-	-	-	-	-	-	-	-	-	-
TAG1384	-	-	fig|1387555.3.peg.436	-	-	-	-	-	-	-	-	-	-
TAG1385	-	-	fig|1387555.3.peg.437	-	-	-	-	-	-	-	-	-	-
TAG1386	-	-	fig|1387555.3.peg.438	-	-	-	-	-	-	-	-	-	-
TAG1387	-	-	fig|1387555.3.peg.439	-	-	-	-	-	-	-	-	-	-
TAG1388	-	-	fig|1387555.3.peg.440	-	-	-	-	-	-	-	-	-	-
TAG1389	-	-	fig|1387555.3.peg.442	-	-	-	-	-	-	-	-	-	-
TAG1390	-	-	fig|1387555.3.peg.443	-	-	-	-	-	-	-	-	-	-
TAG1391	-	-	fig|1387555.3.peg.444	-	-	-	-	-	-	-	-	-	-
TAG1392	-	-	fig|1387555.3.peg.446	-	-	-	-	-	-	-	-	-	-
TAG1393	-	-	fig|1387555.3.peg.449	-	-	-	-	-	-	-	-	-	-
TAG1394	-	-	fig|1387555.3.peg.451	-	-	-	-	-	-	-	-	-	-
TAG1395	-	-	fig|1387555.3.peg.455	fig|1387557.3.peg.281	-	"fig|31899.10.peg.237|SAMN05216182_0148,fig|31899.10.peg.3056|SAMN05216182_2792"	"fig|351627.8.peg.1562|Csac_1408,fig|351627.8.peg.2853|Csac_2642"	-	fig|632292.3.peg.414|Calhy_0376	-	-	-	-
TAG1396	fig|1121259.3.peg.1176	-	fig|1387555.3.peg.456	-	-	"fig|31899.10.peg.236|SAMN05216182_0147,fig|31899.10.peg.3055|SAMN05216182_2791"	"fig|351627.8.peg.1563|Csac_1409,fig|351627.8.peg.2852|Csac_2641"	-	fig|632292.3.peg.415|Calhy_0377	-	-	-	-
TAG1397	-	-	fig|1387555.3.peg.459	-	-	-	-	-	-	-	-	-	-
TAG1398	-	-	fig|1387555.3.peg.460	-	-	-	-	-	-	-	-	-	-
TAG1399	-	-	fig|1387555.3.peg.461	-	-	-	-	-	-	-	fig|632348.3.peg.83|Calkro_0079	-	-
TAG1400	-	fig|1214564.3.peg.1937	fig|1387555.3.peg.463	-	-	fig|31899.10.peg.473|SAMN05216182_0343	-	-	-	-	fig|632348.3.peg.85|Calkro_0081	-	fig|632518.3.peg.45|Calow_0043
TAG1401	-	-	fig|1387555.3.peg.466	-	-	-	-	-	-	-	-	fig|632516.3.peg.453|CallaDRAFT_0438	-
TAG1402	-	-	fig|1387555.3.peg.47	-	-	-	-	-	-	-	-	-	-
TAG1403	-	-	fig|1387555.3.peg.471	-	-	-	-	-	-	-	-	-	-
TAG1404	-	-	fig|1387555.3.peg.472	-	-	-	-	-	-	-	-	-	fig|632518.3.peg.57
TAG1405	"fig|1121259.3.peg.1217,fig|1121259.3.peg.2112,fig|1121259.3.peg.2120"	fig|1214564.3.peg.2164	fig|1387555.3.peg.474	"fig|1387557.3.peg.2673,fig|1387557.3.peg.364"	fig|1387569.3.peg.377	"fig|31899.10.peg.2832|SAMN05216182_2586,fig|31899.10.peg.492|SAMN05216182_0362"	"fig|351627.8.peg.2701|Csac_2504,fig|351627.8.peg.281|Csac_0241"	"fig|608506.3.peg.106|COB47_0098,fig|608506.3.peg.115|COB47_0106"	"fig|632292.3.peg.116|Calhy_0108,fig|632292.3.peg.125|Calhy_0116,fig|632292.3.peg.534|Calhy_0487"	fig|632335.8.peg.2648|Calkr_2433	"fig|632348.3.peg.136|Calkro_0130,fig|632348.3.peg.410|Calkro_0385"	-	"fig|632518.3.peg.2075|Calow_1949,fig|632518.3.peg.61|Calow_0057,fig|632518.3.peg.71|Calow_0063"
TAG1406	-	-	fig|1387555.3.peg.478	-	-	-	-	-	-	-	-	-	-
TAG1407	fig|1121259.3.peg.2125	fig|1214564.3.peg.2449	fig|1387555.3.peg.479	fig|1387557.3.peg.369	fig|1387569.3.peg.384	fig|31899.10.peg.502|SAMN05216182_0372	fig|351627.8.peg.2695|Csac_2498	fig|608506.3.peg.120|COB47_0111	fig|632292.3.peg.130|Calhy_0121	fig|632335.8.peg.2643|Calkr_2428	fig|632348.3.peg.142|Calkro_0135	fig|632516.3.peg.1900|CallaDRAFT_1832	-
TAG1408	fig|1121259.3.peg.554	fig|1214564.3.peg.1798	fig|1387555.3.peg.483	fig|1387557.3.peg.415	fig|1387569.3.peg.61	fig|31899.10.peg.543	fig|351627.8.peg.2632|Csac_2440	-	fig|632292.3.peg.2597|Calhy_2478	-	fig|632348.3.peg.2551|Calkro_2422	-	fig|632518.3.peg.95|Calow_0084
TAG1409	-	-	fig|1387555.3.peg.484	-	-	-	-	-	-	-	-	-	-
TAG1410	-	-	fig|1387555.3.peg.485	-	-	-	-	-	-	-	-	-	-
TAG1411	-	-	fig|1387555.3.peg.486	fig|1387557.3.peg.425	fig|1387569.3.peg.57	fig|31899.10.peg.548|SAMN05216182_0407	-	fig|608506.3.peg.161|COB47_0141	fig|632292.3.peg.2590|Calhy_2472	fig|632335.8.peg.820|Calkr_0721	fig|632348.3.peg.2546|Calkro_2417	fig|632516.3.peg.625|CallaDRAFT_0603	-
TAG1412	-	-	fig|1387555.3.peg.487	-	-	-	-	-	-	-	-	-	-
TAG1413	-	-	fig|1387555.3.peg.488	-	-	-	-	-	-	-	-	-	-
TAG1414	-	fig|1214564.3.peg.1809	fig|1387555.3.peg.490	fig|1387557.3.peg.433	-	-	-	-	fig|632292.3.peg.2583|Calhy_2465	-	-	-	-
TAG1415	-	fig|1214564.3.peg.1810	fig|1387555.3.peg.491	fig|1387557.3.peg.434	-	-	-	-	fig|632292.3.peg.2582|Calhy_2464	-	fig|632348.3.peg.2539|Calkro_2411	-	-
TAG1416	-	-	fig|1387555.3.peg.494	-	-	-	-	-	-	-	-	-	-
TAG1417	-	-	fig|1387555.3.peg.497	-	-	-	-	-	-	-	-	-	-
TAG1418	-	-	fig|1387555.3.peg.507	-	-	-	-	-	-	-	-	-	-
TAG1419	-	-	fig|1387555.3.peg.508	-	-	-	-	-	-	-	-	-	-
TAG1420	-	-	fig|1387555.3.peg.51	-	-	-	-	-	-	-	-	-	-
TAG1421	-	-	fig|1387555.3.peg.515	-	-	-	-	-	-	-	-	-	-
TAG1422	-	-	fig|1387555.3.peg.516	-	-	-	-	-	-	-	-	-	-
TAG1423	-	-	fig|1387555.3.peg.518	-	-	-	-	-	-	-	-	-	-
TAG1424	fig|1121259.3.peg.2342	fig|1214564.3.peg.2206	fig|1387555.3.peg.519	fig|1387557.3.peg.210	-	fig|31899.10.peg.330|SAMN05216182_0203	fig|351627.8.peg.241|Csac_0204	fig|608506.3.peg.785|COB47_0712	fig|632292.3.peg.1996|Calhy_1904	fig|632335.8.peg.2089|Calkr_1929	fig|632348.3.peg.2708|Calkro_2544	fig|632516.3.peg.585|CallaDRAFT_0562	fig|632518.3.peg.691|Calow_0629
TAG1425	-	-	fig|1387555.3.peg.52	-	-	-	-	-	-	-	-	-	-
TAG1426	-	fig|1214564.3.peg.2086	fig|1387555.3.peg.523	fig|1387557.3.peg.371	-	-	fig|351627.8.peg.366|Csac_0313	-	-	-	fig|632348.3.peg.2580|Calkro_2445	-	fig|632518.3.peg.75|Calow_0067
TAG1427	-	-	fig|1387555.3.peg.530	-	-	-	-	-	-	-	-	-	-
TAG1428	-	-	fig|1387555.3.peg.532	-	-	-	-	-	-	-	-	-	-
TAG1429	-	-	fig|1387555.3.peg.533	-	-	-	-	-	-	-	-	-	-
TAG1430	-	-	fig|1387555.3.peg.534	-	-	-	-	-	-	-	-	-	-
TAG1431	-	-	fig|1387555.3.peg.535	-	-	-	-	-	-	-	-	-	-
TAG1432	-	-	fig|1387555.3.peg.536	-	-	-	-	-	-	-	-	-	-
TAG1433	-	-	fig|1387555.3.peg.537	-	-	-	-	-	-	-	-	-	-
TAG1434	-	-	fig|1387555.3.peg.538	-	-	-	-	-	-	-	-	-	-
TAG1435	-	-	fig|1387555.3.peg.540	-	-	-	-	-	-	-	-	-	-
TAG1436	-	-	fig|1387555.3.peg.541	-	-	-	-	-	-	-	-	-	-
TAG1437	-	-	fig|1387555.3.peg.542	-	-	-	-	-	-	-	-	-	-
TAG1438	-	-	fig|1387555.3.peg.543	-	-	-	-	-	-	-	-	-	-
TAG1439	-	-	fig|1387555.3.peg.544	-	-	-	-	-	-	-	-	-	-
TAG1440	-	-	fig|1387555.3.peg.545	-	-	-	-	-	-	-	-	-	-
TAG1441	-	-	fig|1387555.3.peg.546	-	-	-	-	-	-	-	-	-	-
TAG1442	-	-	fig|1387555.3.peg.547	-	-	-	-	-	-	-	-	-	-
TAG1443	-	-	fig|1387555.3.peg.548	-	-	-	-	-	-	-	-	-	fig|632518.3.peg.898|Calow_0830
TAG1444	-	-	fig|1387555.3.peg.549	-	-	-	-	-	-	-	-	-	-
TAG1445	-	-	fig|1387555.3.peg.552	-	-	-	-	fig|608506.3.peg.148|COB47_0129	-	-	fig|632348.3.peg.2566|Calkro_2434	-	-
TAG1446	-	fig|1214564.3.peg.1774	fig|1387555.3.peg.556	-	fig|1387569.3.peg.18	-	-	fig|608506.3.peg.152|COB47_0133	-	"fig|632335.8.peg.2863|Calkr_2584,fig|632335.8.peg.627|Calkr_0560"	-	-	-
TAG1447	-	-	fig|1387555.3.peg.559	-	-	-	-	-	-	-	-	-	-
TAG1448	-	-	fig|1387555.3.peg.563	-	-	-	-	-	-	-	-	-	-
TAG1449	fig|1121259.3.peg.1448	fig|1214564.3.peg.1170	fig|1387555.3.peg.567	fig|1387557.3.peg.90	fig|1387569.3.peg.2241	fig|31899.10.peg.172|SAMN05216182_0101	fig|351627.8.peg.598|Csac_0519	fig|608506.3.peg.2395|COB47_2228	fig|632292.3.peg.2631|Calhy_2506	fig|632335.8.peg.84|Calkr_0057	fig|632348.3.peg.2590|Calkro_2455	fig|632516.3.peg.497|CallaDRAFT_0476	fig|632518.3.peg.2340|Calow_2183
TAG1450	-	-	fig|1387555.3.peg.569	-	-	-	-	-	-	-	-	-	-
TAG1451	-	-	fig|1387555.3.peg.577	-	-	-	-	-	-	-	-	-	-
TAG1452	-	-	fig|1387555.3.peg.578	-	-	-	-	-	-	-	-	-	-
TAG1453	-	-	fig|1387555.3.peg.579	-	-	-	-	-	-	-	-	-	-
TAG1454	-	-	fig|1387555.3.peg.580	-	-	-	-	-	-	-	-	-	-
TAG1455	-	-	fig|1387555.3.peg.584	-	-	-	-	-	-	-	-	-	-
TAG1456	fig|1121259.3.peg.13	fig|1214564.3.peg.1250	fig|1387555.3.peg.586	fig|1387557.3.peg.49	fig|1387569.3.peg.2694	fig|31899.10.peg.142|SAMN05216182_0069	fig|351627.8.peg.442|Csac_0383	fig|608506.3.peg.1461|COB47_1354	"fig|632292.3.peg.1643|Calhy_1552,fig|632292.3.peg.259|Calhy_0235"	fig|632335.8.peg.1284|Calkr_1164	fig|632348.3.peg.279|Calkro_0263	-	fig|632518.3.peg.1070|Calow_0993
TAG1457	-	-	fig|1387555.3.peg.587	-	-	-	-	-	-	-	-	-	-
TAG1458	-	-	fig|1387555.3.peg.588	-	-	-	-	-	-	-	-	-	-
TAG1459	-	-	fig|1387555.3.peg.589	-	-	-	-	-	-	-	-	-	-
TAG1460	-	-	fig|1387555.3.peg.590	-	-	-	-	-	-	-	-	-	-
TAG1461	-	-	fig|1387555.3.peg.591	-	-	-	-	-	-	-	-	-	-
TAG1462	-	-	fig|1387555.3.peg.593	-	-	-	-	-	-	-	-	-	-
TAG1463	-	-	fig|1387555.3.peg.594	-	-	-	-	-	-	-	-	-	-
TAG1464	-	-	fig|1387555.3.peg.596	-	-	-	-	-	-	-	-	-	-
TAG1465	-	-	fig|1387555.3.peg.6	-	-	-	-	-	-	-	-	-	-
TAG1466	-	-	fig|1387555.3.peg.60	-	-	-	-	-	-	-	-	-	-
TAG1467	-	-	fig|1387555.3.peg.601	fig|1387557.3.peg.25	-	-	-	-	-	-	-	-	-
TAG1468	-	-	fig|1387555.3.peg.604	-	-	-	-	-	-	-	-	-	-
TAG1469	fig|1121259.3.peg.1293	fig|1214564.3.peg.75	fig|1387555.3.peg.608	fig|1387557.3.peg.17	-	fig|31899.10.peg.125|SAMN05216182_0054	fig|351627.8.peg.496|Csac_0427	fig|608506.3.peg.2360|COB47_2193	fig|632292.3.peg.293|Calhy_0266	fig|632335.8.peg.149|Calkr_0118	fig|632348.3.peg.302|Calkro_0283	fig|632516.3.peg.555|CallaDRAFT_0530	fig|632518.3.peg.2311|Calow_2154
TAG1470	-	-	fig|1387555.3.peg.61	-	-	-	-	-	-	-	-	-	-
TAG1471	-	-	fig|1387555.3.peg.613	-	-	-	-	-	-	-	-	-	-
TAG1472	-	-	fig|1387555.3.peg.614	-	-	-	-	-	-	-	-	-	-
TAG1473	-	-	fig|1387555.3.peg.615	-	-	-	-	-	-	-	-	-	-
TAG1474	-	-	fig|1387555.3.peg.616	-	-	-	-	-	-	-	-	-	-
TAG1475	-	-	fig|1387555.3.peg.617	-	-	-	-	-	-	-	-	-	-
TAG1476	-	-	fig|1387555.3.peg.618	-	-	-	-	-	-	-	-	-	-
TAG1477	fig|1121259.3.peg.1145	fig|1214564.3.peg.1380	fig|1387555.3.peg.619	fig|1387557.3.peg.8	fig|1387569.3.peg.555	fig|31899.10.peg.97|SAMN05216182_0029	fig|351627.8.peg.336|Csac_0291	fig|608506.3.peg.2352|COB47_2185	fig|632292.3.peg.303|Calhy_0275	fig|632335.8.peg.2378|Calkr_2197	fig|632348.3.peg.310|Calkro_0291	fig|632516.3.peg.1336|CallaDRAFT_1276	fig|632518.3.peg.2303|Calow_2146
TAG1478	fig|1121259.3.peg.1150	fig|1214564.3.peg.1385	fig|1387555.3.peg.624	fig|1387557.3.peg.2852	-	fig|31899.10.peg.92|SAMN05216182_0024	fig|351627.8.peg.342|Csac_0296	fig|608506.3.peg.2347|COB47_2180	fig|632292.3.peg.308|Calhy_0280	fig|632335.8.peg.2373|Calkr_2192	fig|632348.3.peg.315|Calkro_0296	fig|632516.3.peg.1342|CallaDRAFT_1282	-
TAG1479	fig|1121259.3.peg.1158	-	fig|1387555.3.peg.631	-	-	-	fig|351627.8.peg.350	-	fig|632292.3.peg.316	fig|632335.8.peg.2365	-	-	-
TAG1480	-	-	fig|1387555.3.peg.632	fig|1387557.3.peg.2143	fig|1387569.3.peg.1675	fig|31899.10.peg.2380|SAMN05216182_2163	fig|351627.8.peg.1211|Csac_1076	fig|608506.3.peg.1794|COB47_1673	-	-	fig|632348.3.peg.904|Calkro_0850	-	-
TAG1481	-	-	fig|1387555.3.peg.633	-	-	-	-	-	-	-	-	-	-
TAG1482	-	-	fig|1387555.3.peg.635	-	-	-	-	-	-	-	-	-	-
TAG1483	-	-	fig|1387555.3.peg.638	-	-	-	-	-	-	-	-	-	-
TAG1484	-	-	fig|1387555.3.peg.639	-	-	-	-	-	-	-	-	-	-
TAG1485	-	-	fig|1387555.3.peg.64	-	-	-	-	-	-	-	-	-	-
TAG1486	-	-	fig|1387555.3.peg.640	-	-	-	-	-	-	-	-	-	-
TAG1487	-	-	fig|1387555.3.peg.641	-	-	-	-	-	-	-	-	-	-
TAG1488	-	-	fig|1387555.3.peg.642	-	-	-	-	-	-	-	-	-	-
TAG1489	-	-	fig|1387555.3.peg.644	fig|1387557.3.peg.2701	-	-	-	-	-	fig|632335.8.peg.2665|Calkr_2449	fig|632348.3.peg.391|Calkro_0362	-	-
TAG1490	-	-	fig|1387555.3.peg.646	fig|1387557.3.peg.2699	-	-	-	-	-	fig|632335.8.peg.2663|Calkr_2447	fig|632348.3.peg.393|Calkro_0364	-	fig|632518.3.peg.2096|Calow_1965
TAG1491	-	-	fig|1387555.3.peg.647	-	-	-	-	-	-	fig|632335.8.peg.2662|Calkr_2446	-	-	-
TAG1492	-	-	fig|1387555.3.peg.65	-	-	-	-	-	-	-	-	-	-
TAG1493	-	-	fig|1387555.3.peg.650	-	-	-	-	-	-	-	-	-	-
TAG1494	-	-	fig|1387555.3.peg.653	-	-	-	-	-	-	fig|632335.8.peg.2657|Calkr_2441	-	-	-
TAG1495	-	-	fig|1387555.3.peg.655	fig|1387557.3.peg.2705	-	-	-	-	-	fig|632335.8.peg.2667|Calkr_2451	fig|632348.3.peg.387|Calkro_0358	-	-
TAG1496	-	-	fig|1387555.3.peg.657	fig|1387557.3.peg.2703	-	-	-	-	-	fig|632335.8.peg.2666|Calkr_2450	fig|632348.3.peg.389|Calkro_0360	-	fig|632518.3.peg.2098|Calow_1967
TAG1497	-	-	fig|1387555.3.peg.658	-	-	-	-	-	-	fig|632335.8.peg.2475|Calkr_2286	-	fig|632516.3.peg.1970|CallaDRAFT_1901	-
TAG1498	-	fig|1214564.3.peg.198	fig|1387555.3.peg.659	-	-	-	-	-	-	fig|632335.8.peg.2474|Calkr_2285	-	fig|632516.3.peg.1971|CallaDRAFT_1902	-
TAG1499	-	-	fig|1387555.3.peg.66	-	-	-	-	-	-	-	-	-	-
TAG1500	-	-	fig|1387555.3.peg.660	-	-	-	-	-	-	-	-	-	-
TAG1501	fig|1121259.3.peg.1734	-	fig|1387555.3.peg.661	-	-	-	-	-	-	-	-	-	-
TAG1502	-	-	fig|1387555.3.peg.662	-	-	-	-	-	-	-	-	-	-
TAG1503	-	-	fig|1387555.3.peg.663	-	-	-	-	-	-	-	-	-	-
TAG1504	-	-	fig|1387555.3.peg.664	-	-	-	-	-	-	-	-	-	-
TAG1505	-	-	fig|1387555.3.peg.665	-	-	-	-	-	-	-	-	-	-
TAG1506	-	-	fig|1387555.3.peg.666	-	-	-	-	-	-	-	-	-	-
TAG1507	-	-	fig|1387555.3.peg.667	-	-	-	-	-	-	-	-	-	-
TAG1508	-	-	fig|1387555.3.peg.668	-	-	-	-	-	-	-	-	-	-
TAG1509	-	-	fig|1387555.3.peg.67	-	-	-	-	-	-	-	-	-	-
TAG1510	-	-	fig|1387555.3.peg.671	-	-	-	-	-	-	-	-	-	fig|632518.3.peg.2089|Calow_1959
TAG1511	-	-	fig|1387555.3.peg.672	-	-	-	-	-	-	-	-	-	fig|632518.3.peg.2087|Calow_1957
TAG1512	-	-	fig|1387555.3.peg.675	-	-	-	-	-	-	-	-	-	-
TAG1513	-	-	fig|1387555.3.peg.676	-	-	-	-	-	-	-	-	-	-
TAG1514	fig|1121259.3.peg.2431	fig|1214564.3.peg.1443	"fig|1387555.3.peg.393,fig|1387555.3.peg.677"	-	-	"fig|31899.10.peg.2553,fig|31899.10.peg.80|SAMN05216182_0014"	-	fig|608506.3.peg.210	fig|632292.3.peg.330|Calhy_0296	fig|632335.8.peg.1621	-	fig|632516.3.peg.14|CallaDRAFT_0014	-
TAG1515	-	-	fig|1387555.3.peg.678	-	-	-	-	-	-	-	-	-	-
TAG1516	-	-	fig|1387555.3.peg.684	-	-	-	-	-	-	-	-	-	-
TAG1517	-	-	fig|1387555.3.peg.685	-	-	-	-	-	-	-	-	-	-
TAG1518	-	-	fig|1387555.3.peg.686	-	-	-	-	-	-	-	-	-	-
TAG1519	-	-	fig|1387555.3.peg.687	-	-	-	-	-	-	-	-	-	-
TAG1520	-	-	fig|1387555.3.peg.688	-	-	-	-	-	-	-	-	-	-
TAG1521	-	-	fig|1387555.3.peg.689	fig|1387557.3.peg.1832	fig|1387569.3.peg.2141	-	-	-	-	-	-	fig|632516.3.peg.2622|CallaDRAFT_2530	-
TAG1522	-	-	fig|1387555.3.peg.690	-	-	-	-	-	-	-	-	-	-
TAG1523	-	-	fig|1387555.3.peg.692	-	-	-	-	-	-	-	-	-	-
