TAG	1121259.3	1214564.3	1387555.3	1387557.3	1387569.3	31899.1	351627.8	608506.3	632292.3	632335.8	632348.3	632516.3	632518.3
TAG0018	fig|1121259.3.peg.1160	-	-	-	-	-	-	-	fig|632292.3.peg.317|Calhy_0287	-	-	-	-
TAG0019	fig|1121259.3.peg.1169	-	-	-	-	-	-	-	-	-	-	-	-
TAG0020	fig|1121259.3.peg.1175	-	-	-	-	-	-	-	-	-	-	-	-
TAG0021	fig|1121259.3.peg.1177	-	-	-	-	-	-	-	-	-	-	-	-
TAG0022	fig|1121259.3.peg.1178	fig|1214564.3.peg.2484	-	fig|1387557.3.peg.2738	fig|1387569.3.peg.428	fig|31899.10.peg.2878|SAMN05216182_2626	fig|351627.8.peg.2683|Csac_2487	fig|608506.3.peg.2216|COB47_2073	fig|632292.3.peg.492|Calhy_0449	fig|632335.8.peg.2521|Calkr_2329	fig|632348.3.peg.351|Calkro_0326	-	fig|632518.3.peg.2143|Calow_2004
TAG0023	fig|1121259.3.peg.1179	-	-	-	-	-	-	fig|608506.3.peg.2212	-	-	-	-	-
TAG0024	fig|1121259.3.peg.1181	-	-	-	-	-	-	-	-	-	-	-	-
TAG0025	fig|1121259.3.peg.1182	-	-	-	-	-	-	-	-	-	-	-	-
TAG0026	fig|1121259.3.peg.1185	-	-	-	-	-	-	-	-	-	-	-	-
TAG0027	fig|1121259.3.peg.1190	-	-	-	-	-	-	-	-	-	-	-	-
TAG0028	fig|1121259.3.peg.1191	-	-	-	-	-	-	-	-	-	-	-	-
TAG0029	fig|1121259.3.peg.1192	-	-	-	-	-	-	-	-	-	-	-	-
TAG0030	fig|1121259.3.peg.1193	-	-	-	-	-	-	-	-	-	-	-	-
TAG0031	fig|1121259.3.peg.1194	-	-	-	fig|1387569.3.peg.2140	-	-	-	-	-	-	-	-
TAG0032	fig|1121259.3.peg.1201	fig|1214564.3.peg.2187	fig|1387555.3.peg.153	fig|1387557.3.peg.2719	fig|1387569.3.peg.495	fig|31899.10.peg.2857|SAMN05216182_2607	fig|351627.8.peg.259|Csac_0220	fig|608506.3.peg.2194|COB47_2053	fig|632292.3.peg.512|Calhy_0468	-	fig|632348.3.peg.375|Calkro_0346	fig|632516.3.peg.2075|CallaDRAFT_2004	fig|632518.3.peg.2119|Calow_1985
