CHB_15361 + C00068 = C05125 + CHB_16526	R00014	-31323.013830939584
2 C00430 = C00931 + 2 CHB_15377	R00036	-105844.92259418621
2 C04332 = C00255 + C04732	R00066	-30956.64373638993
4 C00931 + CHB_15377 = C01024 + 4 CHB_16134	R00084	-100993.75735032203
CHB_15422 + CHB_15377 = CHB_16027 + CHB_18361	R00087	-42467.481000533735
CHB_15422 + CHB_15846 = CHB_16761 + CHB_18009	R00104	-7207.4610018040985
CHB_18050 + CHB_16810 + CHB_16474 = 2 CHB_29985 + CHB_18009	R00114	-58559.561104738794
CHB_15422 + CHB_16027 = 2 CHB_16761	R00127	-2337.0109241924947
CHB_15422 + CHB_57328 = CHB_16761 + CHB_15346	R00130	5477.621773622639
CHB_15422 + CHB_16171 = CHB_18361 + CHB_15846	R00137	-2018.8864654649515
CHB_16134 + CHB_15846 + CHB_15377 = CHB_15429 + CHB_16908	R00143	303269.4657384034
CHB_15422 + CHB_17659 = CHB_16761 + CHB_15713	R00156	-2524.678618475911
CHB_15422 + CHB_16695 = CHB_16761 + CHB_17659	R00158	3476.8324929871014
CHB_15422 + CHB_17621 = CHB_18361 + CHB_16238	R00161	796947.4666863322
CHB_26078 + CHB_18361 + CHB_15414 = CHB_15422 + CHB_16643 + CHB_15377	R00177	-50404.22486446004
CHB_15414 = C01137 + CHB_16526	R00178	-18889.131843192736
CHB_15422 + C00857 + CHB_16134 = CHB_16027 + CHB_18361 + CHB_15846	R00189	45985.85850953171
CHB_16027 + CHB_18361 = CHB_16708 + C00119	R00190	21914.9624199628
CHB_16680 + CHB_15377 = CHB_16335 + CHB_17588	R00192	35494.8473685139
CHB_16680 + CHB_15377 = C03431 + CHB_16134	R00193	-35192.66362954673
CHB_16761 + CHB_18021 = CHB_15422 + CHB_15361	R00200	-30922.71238216074
CHB_16027 + CHB_18021 + CHB_18361 = CHB_15422 + CHB_15361 + CHB_26078	R00206	-18107.898334065074
CHB_16452 = CHB_15361 + CHB_16526	R00217	-23830.636594143056
CHB_15351 + CHB_16908 = CHB_15343 + CHB_15346 + CHB_15846	R00228	18474.010581085837
CHB_15351 + CHB_26078 = CHB_15346 + CHB_15350	R00230	11750.859762737033
CHB_15422 + CHB_29985 = CHB_16761 + C03287	R00239	28566.025076384074
CHB_15422 + CHB_29985 + CHB_16134 = CHB_16761 + CHB_26078 + CHB_18050	R00253	-16769.914118725166
CHB_18050 + CHB_15377 = CHB_29985 + CHB_16134	R00256	-12882.752833713253
CHB_16977 + CHB_16810 = CHB_15361 + CHB_29985	R00258	-712.9281550602173
CHB_29985 = CHB_29989	R00260	1076.2201084629633
CHB_15713 + C00103 = CHB_18361 + CHB_18066	R00289	-14061.154709832743
CHB_18307 = CHB_18066	R00291	-3333.2987647025147
CHB_15422 + CHB_4167 = CHB_16761 + CHB_4170	R00299	-19712.693601214385
CHB_17057 + CHB_15377 = 2 CHB_4167	R00306	-11262.518790602247
CHB_16761 + CHB_15350 = CHB_15422 + CHB_30089	R00315	-12913.430727004685
CHB_15422 + CHB_17552 = CHB_16761 + CHB_15996	R00330	736.7225596167264
CHB_15422 + C00144 = CHB_16761 + CHB_17552	R00332	10524.123822606925
CHB_15589 + CHB_15846 = CHB_16452 + CHB_16908	R00342	31611.136755272615
CHB_30769 + CHB_15346 = CHB_15351 + CHB_15377 + CHB_16452	R00351	33922.514928604825
CHB_29991 + CHB_16810 = CHB_16452 + CHB_29985	R00355	2942.22779559459
CHB_15351 + CHB_15428 = CHB_15346 + C03508	R00371	29517.466199838964
CHB_16977 = CHB_15570	R00401	148.0202787524904
CHB_16264 + CHB_15377 = CHB_63153 + CHB_17659	R00414	1951.9529252001084
CHB_15713 + CHB_7125 = CHB_18361 + CHB_16264	R00416	-34325.54087137431
CHB_16264 = CHB_16650	R00418	2705.7480704756454
CHB_16264 = C01170	R00420	-9038.27565839456
CHB_16264 + 2 CHB_15846 + CHB_15377 = C04573 + 2 CHB_16908	R00421	-25585.99894059566
CHB_15996 + CHB_15377 = C04895 + CHB_15740	R00424	-80696.14382050524
CHB_15996 + 3 CHB_15377 = CHB_15740 + C01304 + CHB_18361	R00425	-89895.14126079471
CHB_15996 + CHB_15377 = C00144 + CHB_18361	R00426	-56065.33830694982
CHB_15996 + CHB_15377 = C05922	R00428	-20781.16974194179
CHB_15422 + CHB_15996 = CHB_16027 + C04494	R00429	-10759.428102695441
CHB_17552 + CHB_18021 + CHB_16526 = CHB_15996 + CHB_16452	R00431	-6355.353228400927
C00680 = CHB_18019 + CHB_16526	R00451	-50454.306277757045
CHB_15422 + CHB_29991 = CHB_16761 + CHB_30407	R00480	17101.055752979068
CHB_29991 + CHB_29806 = C05840 + CHB_30031	R00481_zws	-21171.51380551813
CHB_29991 = CHB_16958 + CHB_16526	R00489	-18290.774336867093
CHB_29991 = CHB_29806 + CHB_16134	R00490	16046.34944539392
CHB_15713 + CHB_37480 = CHB_18361 + CHB_18307	R00502	-4573.389638023567
CHB_15422 + CHB_17361 = CHB_16761 + CHB_17239	R00512	2815.077415893262
CHB_17677 + CHB_15377 = CHB_17361 + CHB_18361	R00515	-57949.840340996714
CHB_15996 + CHB_17562 = CHB_17552 + CHB_17361	R00517	-20399.391589585808
CHB_15422 + CHB_16189 = CHB_18361 + CHB_17709	R00529	38598.874097658496
CHB_15422 + C00255 = CHB_16761 + CHB_17621	R00549	1339274.769326117
CHB_16467 = C00179 + CHB_16526	R00566	2610.4840898174443
CHB_15422 + CHB_17239 = CHB_16761 + CHB_17677	R00570	10330.271000377717
CHB_15422 + CHB_15713 + CHB_18050 + CHB_15377 = CHB_16761 + CHB_26078 + CHB_17677 + CHB_29985	R00573	-17391.236010007182
2 CHB_15422 + CHB_18050 + C00288 + CHB_15377 = 2 CHB_16761 + CHB_26078 + CHB_29985 + CHB_17672	R00575	-614054.2518810418
CHB_15422 + CHB_29991 + CHB_18050 + CHB_15377 = CHB_16027 + CHB_18361 + CHB_17196 + CHB_29985	R00578	-43847.31598404099
CHB_15811 + CHB_15377 = CHB_17115 + CHB_26078	R00582	-10059.896066343092
CHB_17115 + CHB_15351 = CHB_17981 + CHB_15346	R00586	-6756.1598681949545
CHB_15422 + CHB_18385 = CHB_16027 + C00068	R00619	12941.874714399106
C01077 + CHB_16007 = CHB_16643 + CHB_30089	R00651	-239221.61038010858
CHB_17835 = CHB_18021 + CHB_15377	R00658	-1704.4774661831325
CHB_18021 + CHB_16264 = C04631 + CHB_26078	R00660	-45063.4740279869
CHB_15713 + CHB_15377 = CHB_16695 + CHB_18361	R00662	-45756.6457992371
CHB_17115 + CHB_16881 = CHB_16828 + CHB_15377	R00674	-54531.14921622936
C00826 = CHB_17295 + CHB_15377 + CHB_16526	R00691	-104196.31427431674
CHB_17295 + CHB_16810 = CHB_30851 + CHB_29985	R00694	-1669.9484637194837
CHB_16651 + CHB_15846 = CHB_15361 + CHB_16908	R00703	29099.70605936076
CHB_16087 + CHB_15846 = CHB_16810 + CHB_16526 + CHB_16908	R00709	-785.1101171715418
C00826 + CHB_15846 = CHB_17895 + CHB_16526 + CHB_16908	R00732	-49240.976317122346
CHB_17895 + CHB_16810 = C01179 + CHB_29985	R00734	-47225.659684616025
CHB_15422 + CHB_15351 + C00288 = CHB_16761 + CHB_26078 + CHB_15531	R00742	-597151.8444730819
CHB_15343 + CHB_16908 = CHB_16236 + CHB_15846	R00754	-24969.352257970488
CHB_15422 + CHB_61553 = CHB_16761 + CHB_40595	R00756	-14275.10975472373
